assigned_to,id,doi_link,manuscript_type,novel_biologging,biologging_context,external_data,device_cat,genus,species,habitat,more_species,biologging_availability,conserv*,note,authors,title,source,year,volume,issue,doi,pub_type,source_sheet,access?,reviewed
mfc,skernmauritzen2009,doi.org/10.2989/AJMS.2009.31.3.12.1000,S,TRUE,W,N,L,Arctocephalus,pusillus,M,N,N,N,NA,"Skern-Mauritzen, M; Kirkman, SP; Olsen, E; Bjorge, A; Drapeau, L; Meyer, MA; Roux, JP; Swanson, S; Oosthuizen, WH",Do inter-colony differences in Cape fur seal foraging behaviour reflect large-scale changes in the northern Benguela ecosystem?,AFRICAN JOURNAL OF MARINE SCIENCE,2009,31,3,10.2989/AJMS.2009.31.3.12.1000,J,mfc,NA,TRUE
mfc,schmitz2016,doi.org/10.1371/journal.pone.0161258,U,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,How to anesthetize a guinea pig,"Schmitz, S; Tacke, S; Guth, B; Henke, J","Comparison of Physiological Parameters and Anaesthesia Specific Observations during Isoflurane, Ketamine-Xylazine or Medetomidine-Midazolam-Fentanyl Anaesthesia in Male Guinea Pigs",PLOS ONE,2016,11,9,10.1371/journal.pone.0161258,J,mfc,NA,TRUE
mfc,curk2022,doi.org/10.3389/fevo.2022.865482,S,TRUE,W,N,LI,Buteo,lagopus,T,N,Y,Y,NA,"Curk, T; Kulikova, O; Fufachev, I; Wikelski, M; Safi, K; Pokrovsky, I",Arctic Migratory Raptor Selects Nesting Area During the Previous Breeding Season,FRONTIERS IN ECOLOGY AND EVOLUTION,2022,10,NA,10.3389/fevo.2022.865482,J,mfc,NA,TRUE
mfc,carroll2014,doi.org/10.1242/jeb.113076,S,TRUE,W,N,I,Eudyptula,minor,M,N,N,Y,NA,"Carroll, G; Slip, D; Jonsen, I; Harcourt, R",Supervised accelerometry analysis can identify prey capture by penguins at sea,JOURNAL OF EXPERIMENTAL BIOLOGY,2014,217,24,10.1242/jeb.113076,J,mfc,NA,TRUE
mfc,payne2011,doi.org/10.1111/j.1365-2656.2010.01758.x,S,TRUE,C,N,I,Sepia,apama,M,N,N,N,NA,"Payne, NL; Gillanders, BM; Seymour, RS; Webber, DM; Snelling, EP; Semmens, JM",Accelerometry estimates field metabolic rate in giant Australian cuttlefish Sepia apama during breeding,JOURNAL OF ANIMAL ECOLOGY,2011,80,2,10.1111/j.1365-2656.2010.01758.x,J,mfc,NA,TRUE
mfc,bhering2022,doi.org/10.1007/s43388-022-00085-2,U,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Penguin flipper bands, not biologging","Bhering, RCC; Mayorga, LFSP; Hurtado, R; Egert, L; Vanstreels, RET","Resightings of Magellanic penguins (Spheniscus magellanicus) rehabilitated and released in eastern Brazil, with remarks on injuries and feather damage caused by flipper bands",ORNITHOLOGY RESEARCH,2022,30,1,10.1007/s43388-022-00085-2,J,mfc,NA,TRUE
mfc,lowther2015a,doi.org/10.1890/ES15-00293.1,S,TRUE,W,N,L,Pygoscelis,antarctica,M,Y,N,N,The elephant seal data was from another source,"Lowther, AD; Lydersen, C; Kovacs, KM",A sum greater than its parts: merging multi-predator tracking studies to increase ecological understanding,ECOSPHERE,2015,6,12,10.1890/ES15-00293.1,J,mfc,NA,TRUE
mfc,meynecke2023,doi.org/10.3390/jmse11030600,S,TRUE,W,N,LIE,Megaptera,novaeangliae,M,N,Y,Y,NA,"Meynecke, JO; Gustafon, J; Cade, DE",Exfoliating Whales-Sandy Bottom Contact Behaviour of Humpback Whales,JOURNAL OF MARINE SCIENCE AND ENGINEERING,2023,11,3,10.3390/jmse11030600,J,mfc,NA,TRUE
mfc,volpov2016,doi.org/10.1242/bio.016659,S,TRUE,W,N,LE,Arctocephalus,pusillus,M,N,N,N,NA,"Volpov, BL; Rosen, DAS; Hoskins, AJ; Lourie, HJ; Dorville, N; Baylis, AMM; Wheatley, KE; Marshall, G; Abernathy, K; Semmens, J; Hindell, MA; Arnould, JPY",Dive characteristics can predict foraging success in Australian fur seals (Arctocephalus pusillus doriferus) as validated by animalborne video,BIOLOGY OPEN,2016,5,3,10.1242/bio.016659,J,mfc,NA,TRUE
mfc,gutowsky2017b,doi.org/10.1007/s10641-017-0634-x,S,TRUE,W,N,I,Salvelinus,confluentus,A,N,N,Y,"Acoustic transmitters, but includes a temperature logger","Gutowsky, LFG; Harrison, PM; Martins, EG; Leake, A; Patterson, DA; Zhu, DZ; Power, M; Cooke, SJ",Daily temperature experience and selection by adfluvial bull trout (Salvelinus confluentus),ENVIRONMENTAL BIOLOGY OF FISHES,2017,100,10,10.1007/s10641-017-0634-x,J,mfc,NA,TRUE
